"","genes","logFC","logCPM","F","PValue","FDR"
"MYL3","MYL3",2.67192080673953,7.62007549871974,37.4741912225473,9.2936099588559e-10,1.30389347722748e-05
"G3BP2","G3BP2",-2.32796559230142,8.53771146666729,35.4172043486174,2.6691182701022e-09,1.8723864664767e-05
"HAUS6","HAUS6",-7.21291121494412,4.83441220517017,32.7052637983204,1.0751763298244e-08,5.02824130247876e-05
"NR4A3","NR4A3",4.05980018449948,5.0466533637965,19.2441610225488,1.15126222270518e-05,0.0403805224613843
"RPS2","RPS2",1.54249135066947,8.55347469413109,16.4795944755595,4.92097937142873e-05,0.120140868130222
"RPLP0","RPLP0",1.53719617139244,8.58022597269344,16.3978139075186,5.13788459573293e-05,0.120140868130222
"LOC101112291","LOC101112291",-1.51732042237104,8.57340963488962,15.7795019923151,7.12137814433473e-05,0.129255982987012
"LOC101117414","LOC101117414",2.79233799434117,5.54301980284424,15.0227386011466,0.000106283917894056,0.129255982987012
"MAPRE2","MAPRE2",-2.41450607270565,5.92589767853625,14.999968606391,0.000107573888138159,0.129255982987012
"CPEB2","CPEB2",-1.93230088797252,6.63840855510812,14.7616778992072,0.000122056710178019,0.129255982987012
"MB","MB",1.2826801108331,10.9001550837817,14.5185170045928,0.000138862569937059,0.129255982987012
"NFE2L3","NFE2L3",-9.11861409090147,3.57288051139508,14.5110900193544,0.000139411026870342,0.129255982987012
"RPS19","RPS19",1.99212350447658,6.47713983379019,14.4515435384074,0.000143887917619002,0.129255982987012
"TTN","TTN",-0.930872857345846,17.9026561955379,14.4096230806859,0.00014712619830949,0.129255982987012
"PLCB1","PLCB1",-2.18867585982585,6.13875408007093,14.393546482408,0.00014838746758389,0.129255982987012
"MOB3B","MOB3B",-9.50102052611145,3.44531620956344,14.2354959268154,0.000161381945845761,0.129255982987012
"ATP1B4","ATP1B4",-1.52420973344447,7.88544771855759,14.2257618277744,0.000162218742354476,0.129255982987012
"RPL30","RPL30",1.82337277426694,6.79607190734665,14.1041005194068,0.000173053587134236,0.129255982987012
"ORC3","ORC3",-5.40378318511455,4.22722064385311,14.0825901319447,0.000175043740324534,0.129255982987012
"RCAN1","RCAN1",1.76548237042499,6.90004977659951,13.797475948989,0.000203708171222153,0.13635038812878
"OSBPL6","OSBPL6",-9.06650408667647,3.50594402504609,13.793973408795,0.000204088250228396,0.13635038812878
"ASTE1","ASTE1",-8.80814293476143,3.52599670895591,13.3606030958066,0.000257082787327677,0.15841652760499
"ENOX2","ENOX2",-2.79645328432243,5.3810841049145,13.2877401945461,0.000267267817164276,0.15841652760499
"ANKRD1","ANKRD1",1.41071811543176,8.34881643996314,13.2409858960447,0.000274016572347865,0.15841652760499
