"","genes","logFC","logCPM","F","PValue","FDR"
"ANKRD1","ANKRD1",2.22504052026436,8.34881643996314,31.4879881392341,2.01149279207788e-08,0.000282212438728527
"ALB","ALB",6.76692315746983,4.6173229396313,26.3890150699753,2.79588994794219e-07,0.00196131679848144
"C3H12orf45","C3H12orf45",-9.38487036937501,3.87531025495587,18.6164264569885,1.59973800267949e-05,0.074814413925311
"LOC105603102","LOC105603102",-9.17608845172109,3.82243718309879,17.3625325587806,3.09085720886277e-05,0.0779623552041739
"RCAN1","RCAN1",1.98905072341434,6.90004977659951,17.2847166860669,3.22002915484781e-05,0.0779623552041739
"ARID5B","ARID5B",1.73968166513252,7.66912970150174,17.2185640123803,3.33409929597322e-05,0.0779623552041739
"MBTD1","MBTD1",-2.31141087771275,6.03500895152322,14.997154630218,0.000107734396273566,0.215930511388305
"FAR1","FAR1",-2.04906841415611,6.2175251942866,13.3893360380596,0.000253174769186549,0.444005251460911
"TTLL7","TTLL7",-1.44204030343172,7.70202249432255,12.2612082467687,0.000462651504573102,0.721222289906736
"LOC443471","LOC443471",1.04690465979283,12.3189045819868,11.0721870816093,0.000876604018065262,0.921412889192062
"PGFS","PGFS",3.65311031108052,4.60450176998789,10.7596838728213,0.0010376669643659,0.921412889192062
"NR4A2","NR4A2",6.14700338444864,3.65472955190427,10.686005582653,0.00107981503777248,0.921412889192062
"PARP9","PARP9",4.21701186970299,4.29066120078374,10.3110261215143,0.00132274966602381,0.921412889192062
"GIPC2","GIPC2",-7.8012098745723,3.28618015805619,9.68742191159615,0.0018558024837091,0.921412889192062
"GNG11","GNG11",2.12572948313443,5.61417447849099,9.64607352110569,0.00189804027391288,0.921412889192062
"THEM4","THEM4",8.45727235769064,3.02728632291661,9.57631836333797,0.00197151704954993,0.921412889192062
"COL21A1","COL21A1",4.07967933170437,4.26046632746623,9.51947701711798,0.00203351934953456,0.921412889192062
"PPP1R2","PPP1R2",-1.10604118724171,9.3683428396333,9.49332833399789,0.00206270266132179,0.921412889192062
"SFRP4","SFRP4",8.81629515605288,2.89331003306563,9.38672548432784,0.00218614025826149,0.921412889192062
"UPF3B","UPF3B",-8.09070969628105,3.11397122221713,9.27318126293315,0.00232587350195327,0.921412889192062
"CXCL14","CXCL14",-7.68191153091674,3.21124584837988,9.05617595882577,0.00261867058441733,0.921412889192062
"NDUFA2","NDUFA2",2.80115880035603,4.9022924185553,9.0079955447933,0.0026886012636958,0.921412889192062
