"","genes","logFC","logCPM","F","PValue","FDR"
"LOC105606646","LOC105606646",-3.71855983615096,9.1730498686857,84.7507783701153,3.44030363293905e-20,4.82674599701349e-16
"ANKRD1","ANKRD1",3.16563043309471,8.34881643996314,59.3456876697957,1.33346010270444e-14,9.35422262047162e-11
"ARID5B","ARID5B",2.18352907587948,7.66912970150174,26.4449690815961,2.71607929852765e-07,0.00127021975194477
"MYL3","MYL3",2.14679518933393,7.62007549871974,25.094272606242,5.46774086085876e-07,0.00191781010694621
"PLCB1","PLCB1",-2.92710191650257,6.13875408007093,24.2095151884498,8.65263834958782e-07,0.00242793032089434
"PHKA1","PHKA1",-1.60065776284137,9.25140535332859,19.1820901112307,1.18930395279714e-05,0.0278098907629064
"SLC22A3","SLC22A3",-2.98355592695329,5.70328762111721,18.6811808237757,1.54632612091918e-05,0.0309927935378515
"LOC101114712","LOC101114712",-3.26848508625639,5.3843428158695,17.575219070382,2.76375027500775e-05,0.0484692704479484
"ARHGAP36","ARHGAP36",-3.75547441803616,4.95473445280043,15.6991238877694,7.43044187650974e-05,0.115832332808257
"DRD1","DRD1",-4.72084482182525,4.52911535384291,15.0254884008879,0.000106129192980613,0.148899257751801
"RCAN1","RCAN1",1.83017941260025,6.90004977659951,14.792454359592,0.000120081005324166,0.153157864063458
"MB","MB",1.2184928934505,10.9001550837817,13.1419396340939,0.000288886389475566,0.315633268693226
"GNG11","GNG11",2.50924856577315,5.61417447849099,13.1188939885909,0.000292461332360081,0.315633268693226
"PDE8A","PDE8A",-1.74133695207271,6.76228919643451,12.7896463697242,0.000348689397895216,0.346953739415425
"LOC443471","LOC443471",1.1217456194534,12.3189045819868,12.6739359983062,0.0003709412752125,0.346953739415425
"XIRP1","XIRP1",1.5740321970414,7.20873848857393,12.5072519229833,0.000405538744665107,0.355606786728215
"TTLL7","TTLL7",-1.44911926771983,7.70202249432255,12.3771161063415,0.000434799650362102,0.35883759379884
"MCM10","MCM10",-8.86457626994133,3.25540884912806,11.9671207594981,0.000541676360838796,0.422206630142684
"RPL34","RPL34",2.56092839709709,5.40744051770419,11.6151071888223,0.000654412289921827,0.483231811979117
"TFRC","TFRC",1.15950552159371,10.3078779620713,11.3230704735724,0.00076575656429266,0.537178229851301
"FAR1","FAR1",-1.85682103940974,6.2175251942866,11.1583627703244,0.000836809712873439,0.540434948344866
"LOC101117414","LOC101117414",2.36804906074881,5.54301980284424,11.1349458359268,0.00084743897816016,0.540434948344866
"PARP9","PARP9",4.38988528559383,4.29066120078374,11.0096956510356,0.000906653321538183,0.553058526138292
"MSTN","MSTN",-1.95688132179049,6.01076456700779,10.8985977531189,0.000962671014831378,0.56276143075351
"TPM3","TPM3",1.17002136758377,9.5213718081297,10.7329209886076,0.00105278089421111,0.584939997881364
"LMOD2","LMOD2",1.72047503398913,6.42222835761618,10.6788590450225,0.0010839942940068,0.584939997881364
"FHL1","FHL1",1.01732183665035,11.7790452943767,9.9852990461658,0.00157836803805322,0.820166799032841
"HPCAL4","HPCAL4",-8.48538177602838,3.02951871483019,9.82295409916036,0.00172391685284732,0.82368223936109
"ZNF567","ZNF567",-8.22272606506856,3.09928073650757,9.79544908362331,0.00174989100757198,0.82368223936109
"FADS1","FADS1",5.69811965649606,3.70015381965886,9.74913958044691,0.00179452231990342,0.82368223936109
"ENAH","ENAH",1.32579096973123,7.44554972752825,9.72325687468365,0.00181996788454696,0.82368223936109
"MUSTN1","MUSTN1",1.51133250716134,6.71856710081722,9.57933795021215,0.00196827742707171,0.862966634431751
"ATP1B4","ATP1B4",-1.22667575453935,7.88544771855759,9.38663069049029,0.00218625329225218,0.902567027599346
